Cut_x,Cut_y,loss,Height,Permitivity,Freq
2.2,0.9,-20.18963712,1.6,2.2,5.8
2.4,0.9,-21.06494297,1.6,2.2,5.8
2.6,0.9,-21.72546225,1.6,2.2,5.8
2.8,0.9,-23.82001052,1.6,2.2,5.8
3,0.9,-26.34882419,1.6,2.2,5.8
3.2,0.9,-28.63198924,1.6,2.2,5.8
3.4,0.9,-33.58769808,1.6,2.2,5.8
3.8,0.9,-37.32729413,1.6,2.2,5.8
4,0.9,-28.33403429,1.6,2.2,5.8
4.2,0.9,-24.70934393,1.6,2.2,5.8
4.4,0.9,-21.80269292,1.6,2.2,5.8
2,1,-20.23415862,1.6,2.2,5.8
2.2,1,-20.91807815,1.6,2.2,5.8
2.4,1,-21.90226394,1.6,2.2,5.8
2.6,1,-22.96443608,1.6,2.2,5.8
2.8,1,-25.44092486,1.6,2.2,5.8
3,1,-26.85230642,1.6,2.2,5.8
3.2,1,-30.4852148,1.6,2.2,5.8
3.4,1,-35.97921383,1.6,2.2,5.8
3.6,1,-38.81613744,1.6,2.2,5.8
